year,dong,total
2012,공덕동,7
2012,구수동,2
2012,노고산동,33
2012,당인동,5
2012,대흥동,50
2012,도화동,25
2012,동교동,13
2012,망원동,15
2012,상수동,23
2012,상암동,164
2012,서강동,2
2012,서교동,499
2012,성산동,206
2012,신공덕동,1
2012,신수동,135
2012,아현동,18
2012,연남동,123
2012,염리동,23
2012,용강동,12
2012,창전동,18
2012,합정동,407
2013,공덕동,4
2013,구수동,1
2013,노고산동,51
2013,당인동,2
2013,대흥동,13
2013,도화동,27
2013,동교동,9
2013,망원2동,1
2013,망원동,14
2013,상수동,29
2013,상암동,163
2013,서강동,1
2013,서교동,590
2013,성산동,441
2013,신공덕동,2
2013,신수동,140
2013,아현동,9
2013,연남동,39
2013,염리동,17
2013,용강동,2
2013,창전동,14
2013,합정동,598
2014,공덕동,9
2014,구수동,1
2014,노고산동,87
2014,당인동,34
2014,대흥동,23
2014,도화동,36
2014,동교동,20
2014,망원동,34
2014,상수동,65
2014,상암동,196
2014,서강동,32
2014,서교동,1395
2014,성산동,733
2014,시민신고웹,4
2014,신공덕동,4
2014,신수동,83
2014,신정동,3
2014,아현동,35
2014,연남동,74
2014,염리동,12
2014,용강동,8
2014,창전동,31
2014,하중동,9
2014,합정동,567
2014,현석동,1
2015,공덕동,9
2015,구수동,77
2015,노고산동,80
2015,당인동,143
2015,대흥동,13
2015,도화동,22
2015,동교동,19
2015,마포구,10
2015,마포동,1
2015,망원동,78
2015,상수동,65
2015,상암동,297
2015,서강동,1
2015,서교동,2445
2015,성산동,615
2015,신공덕동,5
2015,신수동,126
2015,신정동,69
2015,아현동,33
2015,연남동,219
2015,염리동,8
2015,용강동,12
2015,중동,1
2015,창전동,115
2015,하중동,7
2015,합정동,674
2015,현석동,2
2016,공덕동,8
2016,구수동,265
2016,노고산동,83
2016,당인동,211
2016,대흥동,147
2016,도화동,78
2016,동교동,52
2016,마포구,1
2016,마포동,5
2016,망원동,135
2016,상수동,88
2016,상암동,893
2016,서강동,2
2016,서교동,3691
2016,성산동,1664
2016,신공덕동,3
2016,신수동,153
2016,신정동,181
2016,아현동,16
2016,연남동,759
2016,염리동,11
2016,용강동,9
2016,중동,1
2016,창전동,208
2016,하중동,19
2016,합정동,483
2016,현석동,1
